"""","    就学免除者_6～11歳(人)","    就学免除者_12～14歳(人)"," 　 就学猶予者_6～11歳(人)"," 　 就学猶予者_ 12～14歳(人)","１年以上居所不明者_ 6～11歳(人)","１年以上居所不明者_ 12～14歳(人)","    学齢児童･生徒死亡数_総 数(人)","    学齢児童･生徒死亡数_6～11歳(人)","    学齢児童･生徒死亡数_ 12～14歳(人)"
"平成16年(2004年)","2.0","0.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0"
"平成17年(2005年)","1.0","1.0","0.0","0.0","0.0","0.0","5.0","2.0","3.0"
"","","","","","","","","",""
"平成18年(2006年)","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"平成19年(2007年)","1.0","0.0","0.0","0.0","1.0","0.0","2.0","1.0","1.0"
"平成20年(2008年)","2.0","0.0","0.0","0.0","1.0","0.0","5.0","4.0","1.0"
"平成21年(2009年)","2.0","0.0","0.0","0.0","1.0","1.0","2.0","2.0","0.0"
"平成22年(2010年)","3.0","0.0","1.0","0.0","1.0","0.0","4.0","2.0","2.0"
"","","","","","","","","",""
"平成23年(2011年)","3.0","0.0","7.0","5.0","1.0","0.0","2.0","1.0","1.0"
"平成24年(2012年)","-","-","6.0","5.0","-","1.0","3.0","3.0","-"
"平成25年(2013年)","-","-","0.0","0.0","1.0","0.0","3.0","2.0","1.0"
"平成26年(2014年)","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0"
